287,33874,105361,184
292,37632,102049,121
259,23427,101974,138
319,46630,98778,126
257,21952,96409,156
302,42166,95408,100
286,33933,95354,120
355,60902,93348,131
258,22714,93076,124
375,68402,92319,142
362,63172,91149,136
333,53434,91052,139
284,33209,90903,113
369,65456,87838,118
400,81960,86933,127
335,54225,86611,131
263,25738,86417,153
402,83475,85842,115
314,45988,85429,107
297,39239,85380,96
372,66256,83399,109
152,-38004,83148,152
138,-42513,82067,107
178,-26758,81974,213
187,-24508,81964,238
251,19006,81944,124
378,70784,81227,140
332,53526,81045,123
129,-45522,80978,108
233,5503,80804,225
405,84305,80294,109
393,76801,80191,90
352,60291,79998,129
132,-44038,78742,123
163,-33529,78673,161
365,64818,77822,109
137,-42545,77619,133
146,-41044,77608,148
148,-39542,77598,152
374,68585,76753,142
170,-29037,76425,260
268,27284,76417,144
212,-11016,75252,324
421,94901,74895,144
128,-45574,74306,136
145,-41067,74273,142
177,-26794,74190,315
180,-26043,74187,338
398,80645,73570,68
382,71629,73454,128
354,61111,73335,126
342,55851,73283,131
162,-33561,73113,253
244,13024,73032,183
341,55862,72171,141
309,45341,72080,104
151,-38077,72029,151
267,27305,71969,133
256,22045,71947,147
207,-14028,71922,330
222,-2004,71906,266
351,60382,71103,134
136,-42594,70948,151
173,-28312,70862,325
240,10774,70804,212
225,251,70794,286
134,-43354,69841,102
181,-25311,69736,331
248,16790,69706,132
438,103261,69475,303
443,107040,68430,249
428,98769,68285,116
418,93505,68200,125
66,-84732,68067,135
100,-64428,67810,196
135,-42618,67612,153
298,40111,67594,94
273,29582,67532,143
192,-21560,67497,380
201,-17799,67485,335
167,-30591,66425,289
266,26579,66406,146
197,-20059,66380,350
433,101815,66113,149
55,-92287,65956,105
395,77743,65746,61
206,-14797,65252,367
368,65718,64488,130
169,-29097,64194,325
250,18311,64151,164
450,111636,64067,156
427,97339,63814,140
349,59710,63313,89
157,-35877,63119,320
415,92088,62617,111
404,84561,62504,126
90,-71263,62329,230
166,-31367,61982,386
179,-26097,61956,356
218,-6524,61902,254
437,103398,61692,392
414,89094,61459,119
161,-33631,60882,400
274,30369,60865,75
394,77816,60187,63
346,58991,59969,118
331,53719,59919,119
308,45436,59849,115
384,73312,59018,60
107,-61512,58883,176
255,22095,58604,163
409,86885,58090,137
296,39426,57582,106
168,-29884,57526,334
196,-20090,57484,301
120,-49480,56546,267
261,24364,56389,124
417,93700,55970,185
230,1759,55227,216
390,76383,54608,95
156,-35931,54224,310
403,84689,53610,72
321,48503,53202,58
279,31917,53089,77
200,-18597,53032,322
219,-3518,53004,226
426,97523,52695,231
334,54545,52142,88
133,-43485,52051,304
411,87738,51430,118
329,53046,51017,120
270,28158,50846,120
252,19861,50812,127
345,58337,49954,65
307,45513,49842,66
85,-75197,49033,209
381,71928,48992,152
371,66647,48930,91
106,-61617,48876,208
124,-47282,48744,258
278,31941,48641,124
242,12324,48568,178
60,-88794,48109,266
172,-28425,47511,327
232,4779,47445,165
412,88559,46994,116
406,85540,46949,178
119,-49564,46539,288
127,-45799,45396,306
305,44793,45389,45
265,26674,45279,73
431,99917,44950,311
324,50086,44319,48
186,-24666,44159,311
294,38768,43122,67
276,31216,43078,86
229,1762,41883,212
410,87887,41423,140
158,-35257,40876,350
430,99992,40503,205
399,81859,40225,184
348,59947,39962,86
328,52391,39891,54
211,-11083,39670,196
72,-82882,39127,194
272,29728,38622,85
264,26705,38608,63
254,21414,38586,60
364,64505,37786,117
338,55434,37694,64
59,-88961,36991,251
313,46372,36505,58
175,-27723,36388,322
88,-72356,34541,180
337,55465,34359,82
113,-52692,34334,349
275,31263,34182,137
228,1765,34100,115
70,-83716,33578,96
376,69848,33399,184
93,-68588,33384,256
303,44129,33152,65
141,-42112,33137,328
295,39590,33120,94
429,100124,32720,235
386,74401,32342,115
312,46407,32057,91
185,-24717,31927,400
340,56253,31030,103
269,28253,30831,93
322,49452,29858,72
43,-103460,29441,281
301,41899,27576,113
289,35084,27532,86
188,-23978,27477,327
253,20697,27464,70
34,-110314,27340,228
140,-42159,26466,375
164,-33071,26408,445
40,-107305,26173,260
58,-89885,25884,119
199,-18685,25234,314
424,96467,24875,282
373,68438,24486,145
174,-27780,24157,378
189,-23234,24138,426
98,-67188,23360,300
360,63147,23316,155
311,46477,23162,91
209,-12630,22994,225
238,10104,22989,87
46,-96756,22655,290
432,101069,21615,200
194,-20973,20793,365
35,-109680,20655,296
105,-62677,19974,398
318,47261,19832,140
291,35888,19752,86
184,-24768,19696,412
203,-17186,19669,239
56,-92261,19247,223
247,16178,18554,59
231,4803,18534,142
447,111743,18469,175
413,89751,18097,284
69,-83936,18012,330
84,-75594,17901,334
26,-118084,17479,234
217,-7332,17425,166
453,114798,17415,205
304,45012,16479,106
235,6322,16312,71
243,13152,15211,32
441,105735,15023,240
42,-103712,14987,225
323,50350,13186,162
359,63265,12196,199
171,-28596,11929,429
78,-79475,11279,342
111,-56696,11018,434
388,76199,10123,271
23,-121276,9758,191
423,96720,9309,230
91,-70390,8940,347
150,-39247,8654,517
271,29878,8600,59
28,-116742,8555,183
202,-17218,8550,185
339,56485,6568,190
117,-50660,6516,434
210,-11145,6311,145
234,6333,6304,57
